id,department,gender,id_crew,job,name
31174,Directing,2,33315,Director,Richard Loncraine
11443,Directing,2,11447,Director,Albert Hughes
11443,Directing,2,11448,Director,Allen Hughes
35196,Directing,2,52405,Director,Michael Hoffman
9312,Directing,2,4014,Director,Paul W.S. Anderson
577,Directing,2,5216,Director,Gus Van Sant
11861,Directing,1,3047,Director,Jocelyn Moorhouse
807,Directing,2,7467,Director,David Fincher
10530,Directing,2,65530,Director,Mike Gabriel
10530,Directing,2,65531,Director,Eric Goldberg
8391,Directing,1,55439,Director,Patricia Rozema
629,Directing,2,9032,Director,Bryan Singer
117164,Directing,2,100505,Director,Richard W. Munchkin
11448,Directing,2,1243,Director,Woody Allen
49133,Directing,2,128107,Director,Gianni Amelio
26441,Directing,1,71338,Director,Holly Goldberg Sloan
97406,Directing,2,140354,Director,Ulu Grosbard
124057,Directing,2,30586,Director,Robert Tinnell
9089,Directing,1,1038,Director,Jodie Foster
11010,Directing,2,28898,Director,Michael Radford
99040,Directing,2,38527,Director,Robert Lepage
11359,Directing,2,7908,Director,Frank Oz
17182,Directing,2,19304,Director,John Schlesinger
2054,Directing,2,18356,Director,Stephen Herek
10607,Directing,2,45649,Director,Paris Barclay
19760,Directing,2,49361,Director,Bill Bennett
9536,Directing,2,57870,Director,Jason Bloom
11525,Directing,2,69721,Director,Farhad Mann
40628,Directing,2,15890,Director,James Foley
4482,Directing,1,35137,Director,Josiane Balasko
10634,Directing,2,37932,Director,F. Gary Gray
755,Directing,2,2294,Director,Robert Rodriguez
11859,Directing,2,70850,Director,Andrew Sipes
28387,Directing,2,5656,Director,Noah Baumbach
48750,Directing,2,16862,Director,Claude Lelouch
20927,Directing,2,10296,Director,Michael Goldenberg
36929,Directing,2,58712,Director,Steve Miner
9102,Directing,2,25735,Director,Christian Duguay
124626,Directing,0,1080309,Director,Susanne Ofteringer
27526,Directing,2,2228,Director,Sean Penn
9623,Directing,2,18069,Director,Brian Gibson
46785,Directing,2,120229,Director,Jafar Panahi
400,Directing,2,5501,Director,Gary Fleder
880,Directing,0,13496,Director,Marleen Gorris
146599,Directing,2,27771,Director,Tim Reid
188588,Directing,2,117075,Director,Henry Jaglom
8447,Directing,0,55038,Director,Philip Haas
10534,Directing,2,578,Director,Ridley Scott
17414,Directing,0,29009,Director,Ken Kwapis
13997,Directing,0,58448,Director,Penelope Spheeris
2086,Directing,2,12840,Director,John Badham
61548,Directing,2,72624,Director,John Duigan
9095,Directing,0,3224,Director,Stephen Frears
12158,Directing,2,5140,Director,Wes Craven
9283,Directing,2,34849,Director,Ted Demme
9208,Directing,2,11401,Director,John Woo
40154,Directing,2,11181,Director,Kenneth Branagh
406,Directing,2,2406,Director,Mathieu Kassovitz
45549,Directing,2,4014,Director,Paul W.S. Anderson
63076,Directing,2,92561,Director,Nick Broomfield
11062,Directing,2,23213,Director,Harold Becker
13685,Directing,2,5655,Director,Wes Anderson
47475,Directing,2,14692,Director,Nick Castle
2045,Directing,2,21053,Director,John Dahl
9614,Directing,2,17494,Director,Dennis Dugan
688,Directing,2,190,Director,Clint Eastwood
11907,Directing,1,18969,Director,Doris Dörrie
10874,Directing,2,65298,Director,Brian Henson
89333,Directing,0,64077,Director,Robert Leacock
96357,Directing,0,1234226,Director,James Bruce
197,Directing,2,2461,Director,Mel Gibson
103,Directing,2,1032,Director,Martin Scorsese
33542,Directing,2,44916,Director,Stanley Tong
43566,Directing,2,23393,Director,Barbet Schroeder
71754,Directing,2,184475,Director,Mort Ransen
43612,Directing,2,20849,Director,Étienne Chatiliez
51352,Directing,0,82293,Director,Jon Blair
16934,Directing,0,81020,Director,Benjamin Ross
10324,Directing,2,68185,Director,Eric Schaeffer
78406,Directing,2,12989,Director,Andrew Davis
55731,Directing,2,36147,Director,Charles T. Kanganis
32119,Directing,2,60295,Director,John N. Smith
11066,Directing,2,68215,Director,Reginald Hudlin
11104,Directing,2,12453,Director,Wong Kar-wai
37975,Directing,0,65314,Director,Giuseppe Tornatore
2074,Directing,2,17883,Director,David O. Russell
27793,Directing,2,16589,Director,Peter MacDonald
44284,Directing,0,239321,Director,Moufida Tlatli
290157,Directing,0,93632,Director,Michel Negroponte
110972,Directing,2,122583,Director,Bryan Gordon
32622,Directing,1,41670,Director,Rebecca Miller
73067,Directing,2,125543,Director,Michael Lindsay-Hogg
11863,Directing,0,15175,Director,William Friedkin
55475,Directing,2,114997,Director,Ángel Muñiz
124636,Directing,0,84445,Director,Craig Baldwin
9101,Directing,2,12920,Director,David S. Ward
123360,Directing,0,1077999,Director,Mark Rappaport
5757,Directing,2,45382,Director,Dirk Shafer
39428,Directing,2,93911,Director,Terence Davies
124639,Directing,0,1080311,Director,Sandip Ray
9302,Directing,2,18250,Director,Jon Avnet
11000,Directing,2,5342,Director,Mike Nichols
249882,Directing,0,1285121,Director,Jakov Sedlar
16388,Directing,2,12833,Director,Edward Burns
9737,Directing,2,865,Director,Michael Bay
30765,Directing,2,56828,Director,Christopher Cain
10474,Directing,2,65390,Director,Scott Kalvert
22279,Directing,2,10723,Director,Mike Newell
30157,Directing,2,91343,Director,Hal Hartley
568,Directing,2,6159,Director,Ron Howard
11780,Directing,2,30365,Director,Michael Caton-Jones
34996,Directing,2,39104,Director,Abel Ferrara
414,Directing,2,5572,Director,Joel Schumacher
649,Directing,2,793,Director,Luis Buñuel
1873,Directing,2,19665,Director,John Boorman
5894,Directing,2,46391,Director,Paul Auster
5894,Directing,0,39819,Director,Wayne Wang
1775,Directing,2,17087,Director,Michael Moore
8839,Directing,0,11887,Director,Brad Silberling
20649,Directing,2,5281,Director,Spike Lee
10329,Directing,2,664,Director,Frank Marshall
8963,Directing,2,893,Director,Tony Scott
26564,Directing,0,17447,Director,Terry Zwigoff
8068,Directing,2,2294,Director,Robert Rodriguez
8512,Directing,0,21712,Director,Carl Franklin
1572,Directing,2,1090,Director,John McTiernan
13552,Directing,2,19224,Director,Gregg Araki
259209,Directing,2,68774,Director,Christopher Menaul
6520,Directing,2,3415,Director,Jerry Zucker
9073,Directing,0,56998,Director,Dwight H. Little
10428,Directing,2,1978,Director,Iain Softley
17447,Directing,2,252806,Director,Christopher Ashley
9886,Directing,2,59997,Director,Robert Longo
9482,Directing,2,33279,Director,Danny Cannon
19326,Directing,2,58316,Director,John Fortenberry
9344,Directing,2,51917,Director,Larry Clark
9071,Directing,2,6400,Director,Tom DiCillo
8973,Directing,2,31211,Director,Clive Barker
15730,Directing,2,38516,Director,Denys Arcand
47608,Directing,1,42617,Director,Antonia Bird
2293,Directing,2,19303,Director,Kevin Smith
9070,Directing,2,42111,Director,Bryan Spicer
68274,Directing,2,44847,Director,David Anspaugh
48787,Directing,2,58384,Director,Anthony Waller
34574,Directing,2,54469,Director,Michael Almereyda
1642,Directing,2,11472,Director,Irwin Winkler
11472,Directing,2,10965,Director,Chris Columbus
36196,Directing,1,56714,Director,Daisy von Scherler Mayer
11980,Directing,2,28902,Director,Gregory Widen
58372,Directing,2,26487,Director,Norman René
32646,Directing,2,16863,Director,Todd Haynes
10533,Directing,0,8965,Director,Roland Joffé
10802,Directing,2,10491,Director,Paul Verhoeven
10149,Directing,0,39819,Director,Wayne Wang
10149,Directing,2,46391,Director,Paul Auster
18402,Directing,2,5306,Director,Lasse Hallström
9348,Directing,2,21370,Director,Roger Donaldson
139408,Directing,2,408,Director,James Keach
281,Directing,1,14392,Director,Kathryn Bigelow
5967,Directing,0,24882,Director,Jacques Demy
79593,Directing,2,17880,Director,Wesley Strick
47939,Directing,1,63713,Director,Martha Coolidge
36834,Directing,1,1128,Director,Agnieszka Holland
9090,Directing,1,20237,Director,Beeban Kidron
3512,Directing,2,32277,Director,Geoff Murphy
52856,Directing,1,3092,Director,Diane Keaton
77350,Directing,2,588623,Director,Douglas Keeve
9560,Directing,2,22767,Director,Alfonso Aráu
9804,Directing,0,8300,Director,Kevin Reynolds
31611,Directing,0,73494,Director,Desmond Nakano
65796,Directing,2,1723,Director,Walter Hill
49805,Directing,2,6111,Director,Mike Figgis
26258,Directing,2,17309,Director,Greg Beeman
50797,Directing,2,82796,Director,Nikita Mikhalkov
19155,Directing,0,1364800,Director,Milčo Mančevski
76,Directing,2,564,Director,Richard Linklater
11017,Directing,1,57691,Director,Tamra Davis
37141,Directing,2,43468,Director,Guy Ferland
9382,Directing,0,18378,Director,Herbert Ross
6715,Directing,2,44990,Director,Peter Horton
18256,Directing,2,27991,Director,Stuart Gordon
22625,Directing,2,19969,Director,Pat O'Connor
2292,Directing,2,19303,Director,Kevin Smith
1909,Directing,2,25210,Director,Jeremy Leven
8984,Directing,2,8246,Director,Barry Levinson
61813,Directing,0,225065,Director,René Bonnière
4954,Directing,2,12840,Director,John Badham
62488,Directing,2,58154,Director,Jack Baran
10531,Directing,2,3556,Director,Roman Polanski
11929,Directing,0,18596,Director,Taylor Hackford
8467,Directing,2,7396,Director,Peter Farrelly
8467,Directing,2,7395,Director,Bobby Farrelly
10451,Directing,2,1614,Director,Ang Lee
20156,Directing,2,56205,Director,Atom Egoyan
18395,Directing,2,1201,Director,Garry Marshall
522,Directing,2,510,Director,Tim Burton
397,Directing,2,8844,Director,Lawrence Kasdan
10525,Directing,2,7904,Director,Billy Crystal
27985,Directing,0,148119,Director,Phillip Borsos
15789,Directing,2,15775,Director,Kevin Lima
15789,Directing,0,56147,Director,Paul Brizzi
27303,Directing,0,57090,Director,Brett Leonard
21183,Directing,2,87695,Director,Carlo Carlei
10954,Directing,0,67794,Director,Gérard Corbiau
47867,Directing,0,1566166,Director,Mark Lewis
43475,Directing,0,129534,Director,Art Clokey
72031,Directing,2,97755,Director,Charles Burnett
14275,Directing,2,122449,Director,Steve James
1024,Directing,2,108,Director,Peter Jackson
17207,Directing,2,77121,Director,Randall Miller
13701,Directing,2,57851,Director,Bernard Rose
14819,Directing,2,32593,Director,Steven Brill
32631,Directing,2,1203,Director,J. F. Lawton
11777,Directing,2,64061,Director,Fred Schepisi
628,Directing,0,17016,Director,Neil Jordan
87729,Directing,2,54441,Director,James Ivory
18713,Directing,0,73668,Director,James Melkonian
6280,Directing,2,8858,Director,Ivan Reitman
9061,Directing,0,56872,Director,Arne Glimcher
37108,Directing,2,62043,Director,Michael Gottlieb
6071,Directing,2,23393,Director,Barbet Schroeder
11,Directing,2,1,Director,George Lucas
9587,Directing,1,58094,Director,Gillian Armstrong
19101,Directing,2,11218,Director,Alfonso Cuarón
49980,Directing,2,15488,Director,Ken Loach
17961,Directing,0,19069,Director,Claude Chabrol
18183,Directing,2,22767,Director,Alfonso Aráu
4476,Directing,2,9181,Director,Edward Zwick
11008,Directing,2,14692,Director,Nick Castle
47504,Directing,2,20561,Director,James Gray
32325,Directing,1,3110,Director,Allison Anders
43742,Directing,2,58463,Director,Glenn Gordon Caron
28313,Directing,2,15912,Director,Stephen Gyllenhaal
11318,Directing,2,55476,Director,Nicholas Hytner
3036,Directing,2,11181,Director,Kenneth Branagh
40490,Directing,2,27444,Director,James Orr
24070,Directing,0,9248,Director,Nora Ephron
8986,Directing,2,24318,Director,Richard Benjamin
10510,Directing,0,56911,Director,Les Mayfield
17402,Directing,2,5065,Director,David Frankel
38722,Directing,2,16395,Director,Gregory Nava
8438,Directing,2,54971,Director,Marc Rocco
11593,Directing,2,6729,Director,Robert Benton
1945,Directing,2,10781,Director,Michael Apted
39310,Directing,2,17278,Director,Nick Gomez
109560,Directing,2,129957,Director,Tōru Murakawa
56428,Directing,2,70905,Director,Vadim Jean
63105,Directing,2,63937,Director,Albert Pyun
131957,Directing,2,131792,Director,Alan Jacobs
241,Directing,2,1152,Director,Oliver Stone
9058,Directing,2,13563,Director,Norman Jewison
527,Directing,2,7256,Director,Lee Tamahori
18220,Directing,1,2873,Director,Anne Goursaud
6950,Directing,2,5231,Director,Wolfgang Petersen
101,Directing,2,59,Director,Luc Besson
63020,Directing,1,6495,Director,Mira Nair
2307,Directing,2,23757,Director,Joshua Brand
680,Directing,2,138,Director,Quentin Tarantino
41478,Directing,2,16214,Director,Mario Van Peebles
25296,Directing,2,1614,Director,Ang Lee
40156,Directing,1,42617,Director,Antonia Bird
11450,Directing,2,4135,Director,Robert Redford
30304,Directing,0,994323,Director,Kayo Hatta
10452,Directing,2,23724,Director,Patrice Chéreau
12106,Directing,2,7623,Director,Sam Raimi
161495,Directing,2,12804,Director,Peter Yates
3586,Directing,2,9789,Director,Robert Altman
110,Directing,2,1126,Director,Krzysztof Kieślowski
108,Directing,2,1126,Director,Krzysztof Kieślowski
109,Directing,2,1126,Director,Krzysztof Kieślowski
159185,Directing,2,77305,Director,He Ping
36357,Directing,2,45642,Director,Fred Gerber
92769,Directing,2,133793,Director,George Mihalka
28033,Directing,2,1524,Director,Harold Ramis
22586,Directing,2,107274,Director,Richard Rich
14334,Directing,2,102445,Director,John Sayles
2636,Directing,2,26648,Director,Luis Llosa
2164,Directing,2,6046,Director,Roland Emmerich
11395,Directing,2,58072,Director,John Pasquin
278,Directing,2,4027,Director,Frank Darabont
9905,Directing,2,2034,Director,Danny Boyle
87078,Directing,2,101444,Director,Scott McGehee
87078,Directing,2,101446,Director,David Siegel
12527,Directing,0,72646,Director,Tomás Gutiérrez Alea
12527,Directing,2,72647,Director,Juan Carlos Tabío
20306,Directing,2,57028,Director,George Huang
36614,Directing,2,91499,Director,Kevin Dowling
36614,Directing,2,72629,Director,Geoff Burton
27993,Directing,2,64030,Director,Kelly Makin
31439,Directing,2,607,Director,Zhang Yimou
9067,Directing,1,56891,Director,Rachel Talalay
9059,Directing,2,15521,Director,Ernest R. Dickerson
193,Directing,2,2380,Director,David Carson
25066,Directing,2,141825,Director,Rusty Cundieff
46797,Directing,2,58080,Director,Brian Gilbert
12122,Directing,2,11770,Director,John Carpenter
11381,Directing,2,13426,Director,Peter Segal
32636,Directing,2,15389,Director,Louis Malle
36141,Directing,2,1884,Director,Steven Soderbergh
95963,Directing,2,76705,Director,Preston A. Whitmore II
1587,Directing,2,5306,Director,Lasse Hallström
9271,Directing,0,57090,Director,Brett Leonard
2064,Directing,2,12962,Director,Jon Turteltaub
19855,Directing,2,18250,Director,Jon Avnet
60855,Directing,0,1230367,Director,Mina Shum
236,Directing,2,3045,Director,P.J. Hogan
48287,Directing,1,83313,Director,Melanie Mayron
3049,Directing,2,4499,Director,Tom Shadyac
2759,Directing,2,27889,Director,Stephan Elliott
12635,Directing,2,1978,Director,Iain Softley
10497,Directing,2,3556,Director,Roman Polanski
11382,Directing,2,1243,Director,Woody Allen
9331,Directing,2,13015,Director,Phillip Noyce
10731,Directing,2,5572,Director,Joel Schumacher
10464,Directing,1,16853,Director,Jessie Nelson
34152,Directing,2,5281,Director,Spike Lee
9495,Directing,2,21085,Director,Alex Proyas
29973,Directing,2,4037,Director,Ron Shelton
888,Directing,2,13581,Director,Brian Levant
13,Directing,2,24,Director,Robert Zemeckis
712,Directing,2,10723,Director,Mike Newell
16295,Directing,2,6482,Director,John Singleton
48992,Directing,1,81727,Director,Darnell Martin
10879,Directing,2,56106,Director,Charles Shyer
10660,Directing,0,41550,Director,Andrew Bergman
10714,Directing,2,7775,Director,Stephen Sommers
41647,Directing,0,226963,Director,Ray Müller
8587,Directing,2,15812,Director,Roger Allers
8587,Directing,2,18898,Director,Rob Minkoff
1689,Directing,2,4956,Director,Bernardo Bertolucci
11596,Directing,2,5140,Director,Wes Craven
854,Directing,2,26713,Director,Chuck Russell
9359,Directing,2,7187,Director,Richard Donner
23333,Directing,2,72427,Director,Alan Rudolph
36593,Directing,2,13426,Director,Peter Segal
12280,Directing,2,6159,Director,Ron Howard
2788,Directing,2,7399,Director,Ben Stiller
10427,Directing,2,21053,Director,John Dahl
11011,Directing,2,18281,Director,Donald Petrie
49803,Directing,2,83588,Director,Robert Allan Ackerman
8987,Directing,2,323,Director,Curtis Hanson
1637,Directing,2,2209,Director,Jan de Bont
15128,Directing,2,33485,Director,Ron Underwood
8831,Directing,2,37710,Director,Peter Hyams
36955,Directing,2,2710,Director,James Cameron
10449,Directing,0,46085,Director,Luis Mandoki
10395,Directing,2,5342,Director,Mike Nichols
12160,Directing,2,8844,Director,Lawrence Kasdan
40480,Directing,2,42301,Director,Damian Harris
52038,Directing,2,158634,Director,Suri Krishnamma
29444,Directing,2,72125,Director,Jefery Levy
26352,Directing,2,35689,Director,Keenen Ivory Wayans
39953,Directing,2,133183,Director,Robert Lee King
39953,Directing,2,1066114,Director,Brian Sloan
39953,Directing,0,1087439,Director,Raoul O'Connell
41580,Directing,0,234793,Director,Yves Angelo
315,Directing,0,4590,Director,Russ Meyer
22067,Directing,2,67896,Director,Doug McHenry
18242,Directing,2,80537,Director,Dave Borthwick
11667,Directing,2,1726,Director,Steven E. de Souza
32502,Directing,2,486,Director,Wallace Wolodarsky
267188,Directing,2,126837,Director,Michael A. Nickles
28732,Directing,2,1142481,Director,Paul Warner
75555,Directing,0,532207,Director,Vincent Robert
42981,Directing,2,129216,Director,Theodore Thomas
278939,Directing,0,1382436,Director,Lucas Platt
291731,Directing,0,1385254,Director,Ross Kagan Marks
226229,Directing,0,220152,Director,Paul Williams
203119,Directing,2,4040,Director,Robert Wuhl
172923,Directing,2,16401,Director,Roberto Sneider
316098,Directing,0,223910,Director,Jack Baxter
316098,Directing,0,1410160,Director,Jefri Aalmuhammed
8011,Directing,2,53599,Director,Andrew Morahan
171857,Directing,2,77076,Director,Michael Corrente
2654,Directing,2,11770,Director,John Carpenter
18069,Directing,2,16513,Director,John G. Avildsen
19092,Directing,2,88060,Director,Jeff Pollack
2758,Directing,2,5174,Director,Barry Sonnenfeld
38129,Directing,2,15106,Director,Thomas Schlamme
10436,Directing,2,1032,Director,Martin Scorsese
13595,Directing,2,7145,Director,Michael Lehmann
46094,Directing,2,12988,Director,Paul Michael Glaser
9409,Directing,2,12840,Director,John Badham
11853,Directing,2,42171,Director,Jonathan Kaplan
16771,Directing,2,78188,Director,Whit Stillman
46924,Directing,2,68687,Director,Bill Forsyth
11041,Directing,0,58448,Director,Penelope Spheeris
306,Directing,2,4610,Director,John Landis
14522,Directing,1,1901,Director,Caroline Thompson
26203,Directing,2,10781,Director,Michael Apted
178,Directing,2,2042,Director,Stephen Hopkins
19819,Directing,0,15175,Director,William Friedkin
57834,Directing,2,32765,Director,Tony Richardson
4722,Directing,2,39104,Director,Abel Ferrara
18215,Directing,1,14800,Director,Jennifer Chambers Lynch
1607,Directing,2,380,Director,Robert De Niro
26391,Directing,2,57107,Director,Adam Resnick
117553,Directing,2,61175,Director,John Whitesell
6075,Directing,2,1150,Director,Brian De Palma
11310,Directing,2,66548,Director,Paul Weiland
18658,Directing,2,8843,Director,Mick Jackson
9350,Directing,2,16938,Director,Renny Harlin
9612,Directing,2,18308,Director,Steve Barron
2124,Directing,2,21806,Director,Richard Rush
26261,Directing,2,12964,Director,Michael Ritchie
19176,Directing,2,27236,Director,Gregg Champion
49299,Directing,2,39104,Director,Abel Ferrara
11566,Directing,2,8858,Director,Ivan Reitman
9571,Directing,2,564,Director,Richard Linklater
9739,Directing,2,58838,Director,Marco Brambilla
24257,Directing,2,86,Director,Bruce Brown
34444,Directing,2,5216,Director,Gus Van Sant
26141,Directing,2,1895,Director,Carl Reiner
10997,Directing,2,20640,Director,Chen Kaige
50463,Directing,2,18281,Director,Donald Petrie
10443,Directing,2,2690,Director,Peter Weir
20239,Directing,2,141825,Director,Rusty Cundieff
16297,Directing,2,50949,Director,Alek Keshishian
18551,Directing,2,10967,Director,Steve Kloves
25440,Directing,2,17784,Director,John Irvin
9024,Directing,2,5174,Director,Barry Sonnenfeld
37233,Directing,2,2226,Director,Sydney Pollack
1634,Directing,0,18254,Director,Simon Wincer
13815,Directing,2,52358,Director,Boaz Yakin
5503,Directing,2,12989,Director,Andrew Davis
35588,Directing,2,1723,Director,Walter Hill
2087,Directing,2,21370,Director,Roger Donaldson
41579,Directing,2,26502,Director,Howard Deutch
18620,Directing,1,172993,Director,Rose Troche
41006,Directing,2,5696,Director,Bruce Beresford
4916,Directing,2,39996,Director,Sidney Lumet
2019,Directing,2,11401,Director,John Woo
31642,Directing,2,1152,Director,Oliver Stone
9255,Directing,2,12936,Director,Jim Abrahams
26271,Directing,0,94996,Director,Julianna Lavin
10612,Directing,2,65859,Director,Christopher Monger
2259,Directing,2,19684,Director,Bille August
16097,Directing,2,77733,Director,Eric Meza
11934,Directing,0,1223,Director,Joel Coen
106143,Directing,2,3388,Director,James L. Brooks
12475,Directing,2,774,Director,"Daniel Petrie, Jr."
9386,Directing,2,5231,Director,Wolfgang Petersen
7984,Directing,2,53334,Director,Jim Sheridan
59930,Directing,2,230059,Director,Matty Rich
15765,Directing,2,18069,Director,Brian Gibson
31643,Directing,2,8246,Director,Barry Levinson
6,Directing,2,2042,Director,Stephen Hopkins
329,Directing,2,488,Director,Steven Spielberg
10909,Directing,2,58498,Director,Dominic Sena
507,Directing,2,8297,Director,Roger Avary
34024,Directing,2,1884,Director,Steven Soderbergh
29918,Directing,2,40549,Director,Daniel Petrie
9593,Directing,2,1090,Director,John McTiernan
42580,Directing,2,90037,Director,James Lapine
22317,Directing,0,18254,Director,Simon Wincer
22317,Directing,2,57147,Director,Paul Hogan
22317,Directing,2,71192,Director,Greg Coote
1413,Directing,2,224,Director,David Cronenberg
12121,Directing,2,24318,Director,Richard Benjamin
2246,Directing,2,23213,Director,Harold Becker
10502,Directing,2,2461,Director,Mel Gibson
10440,Directing,2,1243,Director,Woody Allen
9516,Directing,2,11447,Director,Albert Hughes
9516,Directing,2,11448,Director,Allen Hughes
2320,Directing,2,2523,Director,Stuart Baird
5879,Directing,2,46230,Director,Nagisa Ōshima
83718,Directing,2,119232,Director,Tom Noonan
11971,Directing,2,11181,Director,Kenneth Branagh
2625,Directing,2,6111,Director,Mike Figgis
31911,Directing,2,2239,Director,Anthony Minghella
788,Directing,2,10965,Director,Chris Columbus
21450,Directing,2,65452,Director,Mike Leigh
11231,Directing,2,56828,Director,Christopher Cain
41588,Directing,2,16939,Director,Michael Tolkin
10447,Directing,2,10702,Director,Martin Campbell
31586,Directing,2,3026,Director,Rob Reiner
9300,Directing,1,57206,Director,Sally Potter
9559,Directing,2,190,Director,Clint Eastwood
9800,Directing,2,16294,Director,Jonathan Demme
713,Directing,1,10757,Director,Jane Campion
8291,Directing,2,6482,Director,John Singleton
18133,Directing,2,12920,Director,David S. Ward
25557,Directing,2,29482,Director,Stuart Orme
22588,Directing,2,141450,Director,Mel Smith
10872,Directing,2,34849,Director,Ted Demme
1245,Directing,2,54441,Director,James Ivory
11858,Directing,1,14911,Director,Penny Marshall
7007,Directing,2,648,Director,Philip Kaufman
10467,Directing,2,9168,Director,Alan Parker
5550,Directing,2,44056,Director,Fred Dekker
8005,Directing,2,14639,Director,Mel Brooks
2088,Directing,2,21377,Director,Peter Medak
10412,Directing,2,65026,Director,Geoffrey Wright
47889,Directing,2,138322,Director,Victor Nunez
14534,Directing,2,44847,Director,David Anspaugh
56583,Directing,2,15858,Director,Tim Hunter
41878,Directing,2,127283,Director,Cyril Collard
424,Directing,2,488,Director,Steven Spielberg
35233,Directing,2,12964,Director,Michael Ritchie
14291,Directing,2,2260,Director,Steven Zaillian
103413,Directing,2,8969,Director,Chris Menges
11236,Directing,1,1128,Director,Agnieszka Holland
11592,Directing,2,10367,Director,John Waters
8850,Directing,2,52968,Director,Russell Mulcahy
10445,Directing,2,4786,Director,Richard Attenborough
695,Directing,2,9789,Director,Robert Altman
43535,Directing,2,33405,Director,Gillies MacKinnon
12519,Directing,2,72624,Director,John Duigan
23210,Directing,2,64061,Director,Fred Schepisi
858,Directing,0,9248,Director,Nora Ephron
867,Directing,2,13015,Director,Phillip Noyce
78,Directing,2,578,Director,Ridley Scott
13203,Directing,2,54590,Director,Steve Rash
10442,Directing,2,15106,Director,Thomas Schlamme
11074,Directing,2,63943,Director,Rowdy Herrington
33367,Directing,0,111687,Director,Arthur Joffé
9607,Directing,0,58164,Director,Annabel Jankel
9607,Directing,2,58165,Director,Rocky Morton
17585,Directing,2,15521,Director,Ernest R. Dickerson
9057,Directing,2,45645,Director,Deran Sarafian
20967,Directing,2,78012,Director,François Girard
10635,Directing,2,41549,Director,Andrew Fleming
9479,Directing,2,57646,Director,Henry Selick
10057,Directing,2,18356,Director,Stephen Herek
11969,Directing,2,16566,Director,George P. Cosmatos
41590,Directing,2,53387,Director,Heywood Gould
319,Directing,2,893,Director,Tony Scott
26408,Directing,2,21113,Director,D.A. Pennebaker
26408,Directing,1,115891,Director,Chris Hegedus
15139,Directing,2,4945,Director,Joe Johnston
15139,Directing,0,74299,Director,Pixote Hunt
15139,Directing,0,1164376,Director,Maurice Hunt
161158,Directing,0,1212571,Director,Jerry Ciccoritti
218473,Directing,1,70241,Director,Jennifer Warren
85247,Directing,2,85547,Director,Mark Malone
11446,Directing,2,66605,Director,Todd Solondz
51980,Directing,2,20718,Director,Claude Berri
24405,Directing,2,2778,Director,Dennis Hopper
11655,Directing,2,10828,Director,Guillermo del Toro
11800,Directing,2,69696,Director,Daniel Algrant
8223,Directing,2,309,Director,Pedro Almodóvar
14587,Directing,1,6220,Director,Gurinder Chadha
31504,Directing,2,3030,Director,Andrew Scheinman
41653,Directing,0,91565,Director,Åke Sandgren
53185,Directing,2,33315,Director,Richard Loncraine
95743,Directing,0,1006705,Director,Eva Sereny
23637,Directing,0,26265,Director,Lina Wertmüller
17600,Directing,2,17883,Director,David O. Russell
10897,Directing,0,58448,Director,Penelope Spheeris
349394,Directing,0,1354907,Director,Rémy Duchemin
21352,Directing,0,1174031,Director,George T. Miller
68806,Directing,2,105114,Director,Ricky Tognazzi
37345,Directing,0,67756,Director,Michael Austin
32562,Directing,2,109402,Director,Rob Epstein
